Gene	beta	fdr	dataset	hit_class	direction	unique_hit
CCNK	-0.75209	0	top4	all	DOWN	0
CD58	0.67513	0	top4	all	UP	0
CDC5L	-0.63265	0	top4	all	DOWN	0
CENPI	0.38934	0.096154	top4	other	UP	0
CHEK1	0.72401	0	top4	all	UP	0
CINP	-0.43173	0.055556	top4	other	DOWN	0
CLTC	-0.38147	0.08209	top4	other	DOWN	0
CMAS	-0.48915	0	top4	other	DOWN	0
CMTM6	0.76652	0	top4	all	UP	0
COPB1	-0.36466	0.096154	top4	top4	DOWN	1
COPS2	0.44073	0.044444	top4	all	UP	0
COPS5	0.49374	0.026316	top4	all	UP	0
DCP2	-0.38804	0.07874	top4	other	DOWN	0
DDX49	-0.43847	0.044444	top4	all	DOWN	0
DENR	-0.3564	0.096154	top4	other	DOWN	0
DHFR	-0.58242	0	top4	other	DOWN	0
DHX16	-0.69644	0	top4	all	DOWN	0
DHX8	-0.38339	0.08209	top4	top4	DOWN	1
DKC1	-0.55777	0	top4	other	DOWN	0
DOLK	0.44845	0.036585	top4	other	UP	0
DPAGT1	0.43107	0.044444	top4	all	UP	0
DTYMK	0.38762	0.096154	top4	other	UP	0
EIF3D	-0.4092	0.070796	top4	top4	DOWN	1
EIF3F	-0.39507	0.07874	top4	all	DOWN	0
EIF4A3	-0.3659	0.096154	top4	other	DOWN	0
EIF4E	-0.80261	0	top4	all	DOWN	0
ESPL1	-0.38016	0.08209	top4	top4	DOWN	1
FAM133A	-0.39419	0.07874	top4	other	DOWN	0
FLCN	-0.38511	0.07874	top4	other	DOWN	0
GALE	-1.1088	0	top4	all	DOWN	0
GLMN	0.41508	0.055556	top4	all	UP	0
GNE	-0.51811	0	top4	all	DOWN	0
HDAC3	0.44623	0.036585	top4	all	UP	0
HGS	-0.39089	0.07874	top4	other	DOWN	0
HIRA	-0.35599	0.096154	top4	top4	DOWN	1
HNRNPH1	-0.42823	0.055556	top4	other	DOWN	0
HSPA13	0.45868	0.026316	top4	other	UP	0
HSPE1	-0.76719	0.08209	top4	all	DOWN	0
ICAM1	1.1622	0	top4	all	UP	0
LIPT1	-0.5755	0	top4	all	DOWN	0
MAP1LC3B2	-1.1585	0.051546	top4	all	DOWN	0
MAPK1	-0.49586	0	top4	top4	DOWN	1
MAT2A	0.44005	0.044444	top4	other	UP	0
MCU	-0.66567	0	top4	all	DOWN	0
MED20	-0.36677	0.096154	top4	top4	DOWN	1
MRPL42	-0.37807	0.087591	top4	other	DOWN	0
MRPL45	-0.45392	0.026316	top4	other	DOWN	0
MRPS16	-0.43061	0.055556	top4	all	DOWN	0
MRPS27	-0.39029	0.07874	top4	other	DOWN	0
MRPS28	-0.37552	0.087591	top4	other	DOWN	0
MRPS35	-0.55332	0	top4	all	DOWN	0
MTHFD1	-0.55122	0	top4	all	DOWN	0
MYADM	0.71353	0	top4	all	UP	0
MYB	0.41599	0.055556	top4	top4	UP	1
NANS	-0.62628	0	top4	all	DOWN	0
NCR3LG1	0.92647	0	top4	all	UP	0
NDUFB1	-0.40488	0.070796	top4	top4	DOWN	1
NEDD8	0.84757	0.018182	top4	all	UP	0
NHLRC2	0.50713	0.026316	top4	all	UP	0
NSMCE1	0.4021	0.076923	top4	other	UP	0
NUBP1	0.39235	0.096154	top4	other	UP	0
NUP133	0.68914	0	top4	all	UP	0
NUP214	-0.4249	0.055556	top4	other	DOWN	0
OGT	-0.6394	0	top4	other	DOWN	0
ORC2	-0.54942	0	top4	all	DOWN	0
ORC4	0.40143	0.076923	top4	other	UP	0
PDIA3	0.44156	0.044444	top4	other	UP	0
PDS5A	0.52211	0.026316	top4	all	UP	0
PELO	-0.5911	0	top4	all	DOWN	0
PGAM4	0.72659	0.096154	top4	all	UP	0
PIK3C3	0.49171	0.026316	top4	all	UP	0
PIK3CA	0.53925	0.026316	top4	all	UP	0
POLE2	-0.55561	0	top4	all	DOWN	0
POLR2A	-0.38276	0.08209	top4	top4	DOWN	1
POLR2C	-0.45717	0.026316	top4	top4	DOWN	1
POLR2K	-0.75754	0.094203	top4	all	DOWN	0
POLR3A	0.44356	0.044444	top4	other	UP	0
POP7	-0.39631	0.07874	top4	other	DOWN	0
PPAN	-0.69265	0	top4	all	DOWN	0
PPP1CB	0.47339	0.026316	top4	other	UP	0
PREB	-0.36846	0.096154	top4	all	DOWN	0
PRPF4	-0.42124	0.055556	top4	all	DOWN	0
PRPF8	0.50543	0.026316	top4	all	UP	0
PSMA3	-0.52827	0	top4	all	DOWN	0
PSMA4	-0.41956	0.055556	top4	top4	DOWN	1
PSMB5	0.55361	0.026316	top4	all	UP	0
PSMB6	-0.52589	0	top4	all	DOWN	0
PVRL2	-0.68804	0	top4	all	DOWN	0
RABGGTB	-0.60864	0	top4	all	DOWN	0
RAD21	-0.42913	0.055556	top4	other	DOWN	0
RAN	-0.74959	0	top4	all	DOWN	0
RAP1B	0.41995	0.051546	top4	other	UP	0
RBM39	-0.48693	0	top4	all	DOWN	0
RCC1	-0.37667	0.087591	top4	top4	DOWN	1
RFC3	0.45493	0.026316	top4	top4	UP	1
