Gene	top3	top4	top5	hit_count	hit_class	direction
BUB3	1	0	0	1	top3	DOWN
C10orf107	0	0	1	1	top5	DOWN
CBX3	0	0	1	1	top5	DOWN
CLP1	1	0	0	1	top3	DOWN
COPB1	0	1	0	1	top4	DOWN
COX10	0	0	1	1	top5	DOWN
COX17	1	0	0	1	top3	DOWN
CPNE1	0	0	1	1	top5	DOWN
CPSF3	0	0	1	1	top5	DOWN
CPSF3L	1	0	0	1	top3	DOWN
DDX20	0	0	1	1	top5	DOWN
DDX27	1	0	0	1	top3	DOWN
DHX8	0	1	0	1	top4	DOWN
DYNLL1	0	0	1	1	top5	DOWN
EIF3D	0	1	0	1	top4	DOWN
ESPL1	0	1	0	1	top4	DOWN
GINS2	0	0	1	1	top5	DOWN
GTPBP10	0	0	1	1	top5	DOWN
HIRA	0	1	0	1	top4	DOWN
ILF2	1	0	0	1	top3	DOWN
JTB	1	0	0	1	top3	DOWN
LLPH	0	0	1	1	top5	DOWN
MAPK1	0	1	0	1	top4	DOWN
MDN1	0	0	1	1	top5	DOWN
MED20	0	1	0	1	top4	DOWN
MED30	1	0	0	1	top3	DOWN
MRPL30	1	0	0	1	top3	DOWN
MRPL47	1	0	0	1	top3	DOWN
MRPS7	0	0	1	1	top5	DOWN
MTBP	1	0	0	1	top3	DOWN
NAMPT	0	0	1	1	top5	DOWN
NCLN	1	0	0	1	top3	DOWN
NDUFB1	0	1	0	1	top4	DOWN
NDUFB6	1	0	0	1	top3	DOWN
NUTF2	0	0	1	1	top5	DOWN
NXT1	0	0	1	1	top5	DOWN
ORAOV1	0	0	1	1	top5	DOWN
PAK1IP1	0	0	1	1	top5	DOWN
PAXIP1	0	0	1	1	top5	DOWN
PCNA	1	0	0	1	top3	DOWN
PDCD11	0	0	1	1	top5	DOWN
PEX2	0	0	1	1	top5	DOWN
POLR2A	0	1	0	1	top4	DOWN
POLR2C	0	1	0	1	top4	DOWN
POP5	0	0	1	1	top5	DOWN
PSMA4	0	1	0	1	top4	DOWN
PTAR1	0	0	1	1	top5	DOWN
PTBP1	0	0	1	1	top5	DOWN
RCC1	0	1	0	1	top4	DOWN
REXO2	1	0	0	1	top3	DOWN
RPL13	0	0	1	1	top5	DOWN
RPL19	1	0	0	1	top3	DOWN
RPS18	1	0	0	1	top3	DOWN
RPS21	1	0	0	1	top3	DOWN
RPS29	0	1	0	1	top4	DOWN
RPS3	0	1	0	1	top4	DOWN
RUVBL1	0	0	1	1	top5	DOWN
SCAP	1	0	0	1	top3	DOWN
SDE2	1	0	0	1	top3	DOWN
SMC1A	0	0	1	1	top5	DOWN
SMG6	0	0	1	1	top5	DOWN
SNRPA1	0	1	0	1	top4	DOWN
SUPV3L1	0	0	1	1	top5	DOWN
THOC1	0	0	1	1	top5	DOWN
TIMELESS	1	0	0	1	top3	DOWN
UBE2I	0	0	1	1	top5	DOWN
UPF2	0	0	1	1	top5	DOWN
USP1	1	0	0	1	top3	DOWN
XRCC6	1	0	0	1	top3	DOWN
YPEL1	1	0	0	1	top3	DOWN
ZCRB1	1	0	0	1	top3	DOWN
ZNF83	1	0	0	1	top3	DOWN
